Comune_albergo,Provincia_albergo,Mese,Provenienza,Regione_di_provenienza,Nazione_di_provenienza,Arrivati,Partiti,Presenti,Codice_ISTAT_comune,Codice_ISTAT_provenienza
CERIGNOLA,FOGGIA,Agosto,ABRUZZO,Abruzzo,Italia,8,8,14,71020,913
CERIGNOLA,FOGGIA,Agosto,Altri_Paesi_dell'Africa,ALTRO,Altri,2,2,2,71020,300
CERIGNOLA,FOGGIA,Agosto,BASILICATA,Basilicata,Italia,3,4,3,71020,917
CERIGNOLA,FOGGIA,Agosto,CALABRIA,Calabria,Italia,5,5,8,71020,918
CERIGNOLA,FOGGIA,Agosto,CAMPANIA,Campania,Italia,37,36,77,71020,915
CERIGNOLA,FOGGIA,Agosto,EMILIA-ROMAGNA,Emilia-Romagna,Italia,36,38,81,71020,908
CERIGNOLA,FOGGIA,Agosto,Germania,ALTRO,Germania,8,8,36,71020,4
CERIGNOLA,FOGGIA,Agosto,LAZIO,Lazio,Italia,29,29,43,71020,912
CERIGNOLA,FOGGIA,Agosto,LIGURIA,Liguria,Italia,2,1,3,71020,907
CERIGNOLA,FOGGIA,Agosto,LOMBARDIA,Lombardia,Italia,45,45,119,71020,903
CERIGNOLA,FOGGIA,Agosto,MARCHE,Marche,Italia,5,5,7,71020,911
CERIGNOLA,FOGGIA,Agosto,MOLISE,Molise,Italia,11,16,26,71020,914
CERIGNOLA,FOGGIA,Agosto,PIEMONTE,Piemonte,Italia,38,40,72,71020,901
CERIGNOLA,FOGGIA,Agosto,PUGLIA,Puglia,Italia,37,37,60,71020,916
CERIGNOLA,FOGGIA,Agosto,SARDEGNA,Sardegna,Italia,1,1,1,71020,920
CERIGNOLA,FOGGIA,Agosto,SICILIA,Sicilia,Italia,5,5,5,71020,919
CERIGNOLA,FOGGIA,Agosto,Slovacchia,ALTRO,Slovacchia,4,4,8,71020,63
CERIGNOLA,FOGGIA,Agosto,Svizzera_(incluso_Liechtenstein),ALTRO,Altri,2,2,2,71020,36
CERIGNOLA,FOGGIA,Agosto,TOSCANA,Toscana,Italia,10,10,14,71020,909
CERIGNOLA,FOGGIA,Agosto,TRENTO,Trento,Italia,1,1,2,71020,922
CERIGNOLA,FOGGIA,Agosto,UMBRIA,Umbria,Italia,2,2,3,71020,910
CERIGNOLA,FOGGIA,Agosto,VENETO,Veneto,Italia,4,4,6,71020,905
CERIGNOLA,FOGGIA,Agosto,Venezuela,ALTRO,Venezuela,1,1,2,71020,484
CERIGNOLA,FOGGIA,Aprile,ABRUZZO,Abruzzo,Italia,1,1,1,71020,913
CERIGNOLA,FOGGIA,Aprile,Altri_Paesi_Europei,ALTRO,Altri,2,2,2,71020,100
CERIGNOLA,FOGGIA,Aprile,BASILICATA,Basilicata,Italia,8,8,8,71020,917
CERIGNOLA,FOGGIA,Aprile,CALABRIA,Calabria,Italia,6,6,9,71020,918
CERIGNOLA,FOGGIA,Aprile,CAMPANIA,Campania,Italia,19,20,56,71020,915
CERIGNOLA,FOGGIA,Aprile,EMILIA-ROMAGNA,Emilia-Romagna,Italia,8,8,11,71020,908
CERIGNOLA,FOGGIA,Aprile,Francia,ALTRO,Francia,3,2,6,71020,1
CERIGNOLA,FOGGIA,Aprile,FRIULI-VENEZIA_GIULIA,Friuli-Venezia_Giulia,Italia,1,1,1,71020,906
CERIGNOLA,FOGGIA,Aprile,Grecia,ALTRO,Grecia,1,1,4,71020,9
CERIGNOLA,FOGGIA,Aprile,LAZIO,Lazio,Italia,9,8,14,71020,912
CERIGNOLA,FOGGIA,Aprile,LIGURIA,Liguria,Italia,1,1,3,71020,907
CERIGNOLA,FOGGIA,Aprile,LOMBARDIA,Lombardia,Italia,22,24,49,71020,903
CERIGNOLA,FOGGIA,Aprile,MARCHE,Marche,Italia,6,7,6,71020,911
CERIGNOLA,FOGGIA,Aprile,PIEMONTE,Piemonte,Italia,15,15,53,71020,901
CERIGNOLA,FOGGIA,Aprile,PUGLIA,Puglia,Italia,19,19,24,71020,916
CERIGNOLA,FOGGIA,Aprile,Romania,ALTRO,Romania,4,4,4,71020,66
CERIGNOLA,FOGGIA,Aprile,SARDEGNA,Sardegna,Italia,2,3,2,71020,920
CERIGNOLA,FOGGIA,Aprile,TOSCANA,Toscana,Italia,10,10,13,71020,909
CERIGNOLA,FOGGIA,Aprile,VENETO,Veneto,Italia,5,5,14,71020,905
CERIGNOLA,FOGGIA,Dicembre,ABRUZZO,Abruzzo,Italia,3,3,5,71020,913
CERIGNOLA,FOGGIA,Dicembre,Altri_Paesi_Europei,ALTRO,Altri,1,1,1,71020,100
CERIGNOLA,FOGGIA,Dicembre,Austria,ALTRO,Austria,2,2,2,71020,38
CERIGNOLA,FOGGIA,Dicembre,BASILICATA,Basilicata,Italia,1,1,1,71020,917
CERIGNOLA,FOGGIA,Dicembre,BOLZANO_-_BOZEN,Bolzano/Bozen,Italia,1,1,1,71020,921
CERIGNOLA,FOGGIA,Dicembre,CALABRIA,Calabria,Italia,3,3,3,71020,918
CERIGNOLA,FOGGIA,Dicembre,CAMPANIA,Campania,Italia,21,21,37,71020,915
CERIGNOLA,FOGGIA,Dicembre,Croazia,ALTRO,Croazia,1,1,1,71020,92
CERIGNOLA,FOGGIA,Dicembre,EMILIA-ROMAGNA,Emilia-Romagna,Italia,16,16,29,71020,908
CERIGNOLA,FOGGIA,Dicembre,FRIULI-VENEZIA_GIULIA,Friuli-Venezia_Giulia,Italia,3,3,3,71020,906
CERIGNOLA,FOGGIA,Dicembre,Germania,ALTRO,Germania,2,2,6,71020,4
CERIGNOLA,FOGGIA,Dicembre,Grecia,ALTRO,Grecia,1,1,1,71020,9
CERIGNOLA,FOGGIA,Dicembre,LAZIO,Lazio,Italia,25,25,40,71020,912
CERIGNOLA,FOGGIA,Dicembre,LIGURIA,Liguria,Italia,1,1,4,71020,907
CERIGNOLA,FOGGIA,Dicembre,LOMBARDIA,Lombardia,Italia,22,25,66,71020,903
CERIGNOLA,FOGGIA,Dicembre,MARCHE,Marche,Italia,3,3,3,71020,911
CERIGNOLA,FOGGIA,Dicembre,PIEMONTE,Piemonte,Italia,9,9,16,71020,901
CERIGNOLA,FOGGIA,Dicembre,PUGLIA,Puglia,Italia,18,18,21,71020,916
CERIGNOLA,FOGGIA,Dicembre,SICILIA,Sicilia,Italia,2,2,2,71020,919
CERIGNOLA,FOGGIA,Dicembre,Spagna,ALTRO,Spagna,1,1,3,71020,11
CERIGNOLA,FOGGIA,Dicembre,TOSCANA,Toscana,Italia,5,5,11,71020,909
CERIGNOLA,FOGGIA,Dicembre,UMBRIA,Umbria,Italia,3,3,8,71020,910
CERIGNOLA,FOGGIA,Dicembre,VENETO,Veneto,Italia,7,13,12,71020,905
CERIGNOLA,FOGGIA,Febbraio,ABRUZZO,Abruzzo,Italia,8,8,8,71020,913
CERIGNOLA,FOGGIA,Febbraio,Altri_Paesi_Europei,ALTRO,Altri,0,1,0,71020,100
CERIGNOLA,FOGGIA,Febbraio,BASILICATA,Basilicata,Italia,4,4,5,71020,917
CERIGNOLA,FOGGIA,Febbraio,BOLZANO_-_BOZEN,Bolzano/Bozen,Italia,1,1,1,71020,921
CERIGNOLA,FOGGIA,Febbraio,CALABRIA,Calabria,Italia,3,3,3,71020,918
CERIGNOLA,FOGGIA,Febbraio,CAMPANIA,Campania,Italia,13,14,26,71020,915
CERIGNOLA,FOGGIA,Febbraio,EMILIA-ROMAGNA,Emilia-Romagna,Italia,13,15,26,71020,908
CERIGNOLA,FOGGIA,Febbraio,Francia,ALTRO,Francia,1,1,2,71020,1
CERIGNOLA,FOGGIA,Febbraio,LAZIO,Lazio,Italia,9,9,13,71020,912
CERIGNOLA,FOGGIA,Febbraio,LIGURIA,Liguria,Italia,0,2,5,71020,907
CERIGNOLA,FOGGIA,Febbraio,LOMBARDIA,Lombardia,Italia,16,16,27,71020,903
CERIGNOLA,FOGGIA,Febbraio,MARCHE,Marche,Italia,4,4,6,71020,911
CERIGNOLA,FOGGIA,Febbraio,PIEMONTE,Piemonte,Italia,7,7,10,71020,901
CERIGNOLA,FOGGIA,Febbraio,Polonia,ALTRO,Polonia,4,4,4,71020,60
